y_belief_report_fac,y_belief_report_num,y_share_report_email_num,y_share_report_fb_num,y_share_report_twitter_num,y_share_report_whatsapp_num,y_share_report_email_fac,y_share_report_fb_fac,y_share_report_twitter_fac,y_share_report_whatsapp_fac,d_treatment_source,x_age,x_sex_fac,x_sex_num,x_income_fac,x_income_num,x_education,x_education_fac,x_education_num
5,5,0,0,NA,0,No,No,NA,No,1,54,male,1,"5,001€ or more",11,Fach- or Hochschulstudium,University,5
4,4,0,0,NA,1,No,No,NA,Yes,1,20,female,0,"2,501 to 3,000€",6,Abitur,High school,4
3,3,0,NA,NA,0,No,NA,NA,No,1,54,male,1,"5,001€ or more",11,"Mittlere Reife, Realschulabschluss, Fachoberschulreife",Middle school,2
0 - Not at all,0,0,0,NA,0,No,No,NA,No,1,36,male,1,"1,001 to 1,500€",3,"Mittlere Reife, Realschulabschluss, Fachoberschulreife",Middle school,2
3,3,0,NA,NA,0,No,NA,NA,No,0,43,male,1,"1,001 to 1,500€",3,Abitur,High school,4
0 - Not at all,0,0,0,0,0,No,No,No,No,0,47,male,1,"4,501 to 5,000€",10,"Mittlere Reife, Realschulabschluss, Fachoberschulreife",Middle school,2
4,4,0,0,NA,1,No,No,NA,Yes,0,29,male,1,"3,001 to 3,500€",7,"Mittlere Reife, Realschulabschluss, Fachoberschulreife",Middle school,2
3,3,0,0,NA,0,No,No,NA,No,1,31,male,1,"2,501 to 3,000€",6,Fach- or Hochschulstudium,University,5
3,3,0,NA,NA,0,No,NA,NA,No,1,59,female,0,0 to 500€,1,"Mittlere Reife, Realschulabschluss, Fachoberschulreife",Middle school,2
5,5,0,0,NA,0,No,No,NA,No,0,44,male,1,"4,001 to 4,500€",9,Fach- or Hochschulstudium,University,5
4,4,0,NA,0,1,No,NA,No,Yes,0,38,male,1,"3,001 to 3,500€",7,Abitur,High school,4
2,2,0,0,NA,0,No,No,NA,No,0,41,male,1,"2,001 to 2,500€",5,"Mittlere Reife, Realschulabschluss, Fachoberschulreife",Middle school,2
6 - Completely,6,1,1,1,1,Yes,Yes,Yes,Yes,1,40,male,1,"3,501 to 4,000€",8,Abitur,High school,4
3,3,0,0,NA,0,No,No,NA,No,0,65,male,1,"2,501 to 3,000€",6,Volks- oder Hauptschulabschluss,Elementary school,1
4,4,0,NA,0,0,No,NA,No,No,0,35,female,0,"5,001€ or more",11,Fach- or Hochschulstudium,University,5
4,4,0,0,0,NA,No,No,No,NA,1,65,female,0,"3,001 to 3,500€",7,Abitur,High school,4
4,4,0,0,NA,NA,No,No,NA,NA,1,56,female,0,"5,001€ or more",11,Abitur,High school,4
3,3,0,0,NA,1,No,No,NA,Yes,0,19,male,1,"5,001€ or more",11,Fachhochschulreife,Technical high school,3
3,3,0,0,NA,0,No,No,NA,No,0,59,male,1,"3,001 to 3,500€",7,Volks- oder Hauptschulabschluss,Elementary school,1
